wav [Å]	Ti	Fe	Ni	Cu	Cd	W	Pb	Al	Zn	ZnO
0.289	0.292	0.986	1.704	0.712	19.055	0.472	0.364	0.086	0.275	0.312
0.29	0.292	0.986	1.704	0.712	19.12	0.472	0.364	0.086	0.275	0.312
0.291	0.293	0.986	1.704	0.713	19.185	0.473	0.364	0.086	0.275	0.312
0.292	0.293	0.986	1.704	0.713	19.25	0.474	0.364	0.086	0.276	0.312
0.293	0.293	0.986	1.705	0.713	19.315	0.474	0.364	0.086	0.276	0.312
0.294	0.293	0.986	1.705	0.713	19.38	0.475	0.364	0.086	0.276	0.312
0.295	0.293	0.986	1.705	0.713	19.445	0.476	0.364	0.086	0.276	0.312
0.296	0.294	0.987	1.705	0.713	19.509	0.476	0.364	0.086	0.276	0.312
0.297	0.294	0.987	1.705	0.714	19.574	0.477	0.364	0.086	0.276	0.312
0.298	0.294	0.987	1.706	0.714	19.639	0.477	0.364	0.086	0.276	0.312
0.299	0.294	0.987	1.706	0.714	19.704	0.478	0.364	0.086	0.276	0.312
0.3	0.294	0.987	1.706	0.714	19.769	0.479	0.364	0.086	0.276	0.312
0.301	0.295	0.987	1.706	0.714	19.834	0.479	0.364	0.086	0.276	0.312
0.302	0.295	0.987	1.706	0.714	19.899	0.48	0.364	0.086	0.276	0.312
0.303	0.295	0.987	1.707	0.715	19.964	0.481	0.364	0.086	0.276	0.312
0.304	0.295	0.987	1.707	0.715	20.029	0.481	0.364	0.086	0.276	0.312
0.305	0.295	0.988	1.707	0.715	20.094	0.482	0.364	0.086	0.276	0.312
0.306	0.296	0.988	1.707	0.715	20.159	0.483	0.364	0.086	0.276	0.312
0.307	0.296	0.988	1.707	0.715	20.224	0.483	0.364	0.086	0.276	0.312
0.308	0.296	0.988	1.708	0.716	20.289	0.484	0.364	0.086	0.276	0.312
0.309	0.296	0.988	1.708	0.716	20.353	0.485	0.364	0.086	0.276	0.313
0.31	0.296	0.988	1.708	0.716	20.418	0.485	0.364	0.086	0.276	0.313
0.311	0.296	0.988	1.708	0.716	20.483	0.486	0.364	0.086	0.276	0.313
0.312	0.297	0.988	1.708	0.716	20.548	0.487	0.364	0.086	0.276	0.313
